company name,CVR
CSIS Security Group A/S,29523355
CSK Stålindustri A/S,20216883
C.V.S Sikring ApS,37127671
"DAIFUKU EUROPE, filial af Daifuku Europe GmbH, Tyskland",39848236
Dalberg Media ApS,36735902
Dalbo A/S,15661135
Damco Denmark A/S,75085818
Dampskibsselskabet Norden A/S,67758919
Dancenter A/S,67324013
DANELEC ELECTRONICS A/S,18630877
Danfoss A/S,20165715
Danfoss Power Electronics A/S,19883876
Danfoss Power Solutions ApS,25814363
"Danica Pension, Livsforsikringsaktieselskab",24256146
Danimex Communication A/S,29669015
Danish Crown A/S,26121264
Danmarks Meteorologiske Institut (DMI),18159104
Danmarks Tekniske Universitet (DTU),30060946
DANMON GROUP A/S,66315428
DANSK BOLDSPIL-UNION,21299014
Dansk Brand- og sikringsteknisk Institut,65196816
Dansk Fundamental Metrologi A/S,29217939
Dansk Flygtningehjælp,20699310
Dansk Institut for Internationale Studier (DIIS),34462674
Dansk Stillads Service A/S,10477530
Danske Bank A/S,61126228
Danske Commodities A/S,28113951
Dantec Dynamics A/S,15107588
Dapsi International ApS,37246433
DAT-Schaub A/S,33353170
Davai Bridge & Tunnel A/S,35409173
De Nationale Geologiske Undersøgelser for Danmark og Grønland,55145016
Dedalus Healthcare Denmark ApS,41744901
Den Danske Scenekunstskole,51531817
"Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",18975734
DELEGATE A/S,29772843
Deloitte MCS Limited,35451501
Deloitte Statsautoriseret Revisionspartnerselskab,33963556
Dept Design & Technology ApS,30530748
Dept Digital Marketing ApS,32675611
Det Kongelige Teater og Kapel,10842255
Devote Consulting ApS,35233563
DFDS,14194711
Dhaba Street Food ApS,41296909
DHI A/S,36466871
Diageo Denmark A/S,21256110
Dignity - Dansk Institut mod Tortur,69735118
Dinex A/S,10504473
District Tonkin Group ApS,41413395
Dixa ApS,36561009
DNV GL Denmark A/S,89832314
"Dornan Engineering, filial af Dornan Engineering Limited, Irland",38441647
Dreamdata.io ApS,39855224
DRIL-QUIP (EUROPE) LIMITED DANISH BRANCH FILIAL AF DRIL-QUIP,29180806
DSB,25050053
DSM Nutritional Products A/S,26081793
Dupont Nutrition Biosciences ApS,11350356
DXC Technology Danmark A/S,15231599
Dynaudio A/S,27215556
EA ENERGIANALYSE A/S,28985827
EagleBurgmann KE A/S,13436681
Ecapacity A/S,30814037
EC ApS,27344445
ECCO Sko A/S,45349918
EET Group A/S,11783376
Eficode A/S,30987225
EIVA A/S,84315818
EJLSKOV A/S,24232298
Elis Danmark A/S,27339506
Elkjærs Autolakering ApS,31420350
Elkjærgruppen ApS,38957287
emagine Consulting A/S,26249627
emendo Engineering ApS,38124722
Emerson Process Management A/S,31482429
Empirical ApS,38124706
ENABL A/S,40873406
Encode A/S,26317797
Energi Danmark A/S,17225898
Energinet Systemansvar A/S,39314959
Energy Machines ApS,38192191
Enkali ApS,40561374
Enter Group ApS,43729225
Envases Europe A/S,67287118
Envision Energy (Denmark) ApS,31492521
EPOS Group A/S,39820242
EQT Partners Denmark ApS,41073381
Ernst & Young Godkendt Revisionspartnerselskab,30700228
Esbjerg Forenede Boldklubber Elitefodbold A/S,15619376
Esbjerg International School,33335334
ESS-FOOD A/S,73599318
Eurojob Denmark ApS,37645176
Europaskolen Københavns Kommune,64942212
European Spallation Source ERIC,35439749
Evapco Air Solutions A/S,15911972
Everfuel A/S,38456695
Exerp ApS,10501148
Expeditors Denmark ApS,33879431
Fairwind A/S,31429293
Falck Danmark A/S,16271241
Famly ApS,35413758
F.C. København P/S,43952161
FC Helsingør A/S,40196927
FC Midtjylland A/S,31576156
FC Nordsjælland A/S,24257703
FDC Denmark ApS,40574832
Fehmarn Belt Contractors I/S,37672076
Ferring Pharmaceuticals A/S,16313440
Ferrosan Medical Devices A/S,32942342
Fiberline Composites A/S,13639108
Fiskehallen Tvilling A/S,25815955
Fitness World A/S,25652991
FLC Portals Group I/S,37668818
FLC Tunnel Group North I/S,37669296
FLSmidth A/S,15028882
FLSmidth Global Services A/S,19094308
"Fluor Nordic, filial af Fluor Project Services B.V., Holland",36705256
Fodboldalliancen AC Horsens A/S,89943728
Fonden DIS – Danish Institute for Study Abroad,13058946
Fonden Mærsk Mc-Kinney Møller Center for Zero Carbon Shipping,41805056
Force Technology,55117314
Forecast APS,38019651
Foss Analytical A/S,73399815
Frankly A/S,29206775
Fredericia Håndboldklub,13738319
FUJIFILM Diosynth Biotechnologies Denmark ApS,26060702
FUJITSU A/S,86631628
Galaxy Denmark Opco ApS,42921491
GANNI A/S,21664731
Gastronomiet ApS,28483848
Gas Turbine Services A/S,20589183
Gavdi A/S,25057732
GEA Process Engineering A/S,10050715
Gehl Architects ApS,25309529
Genmab A/S,21023884
Georg Jensen A/S,26573645
Geranium ApS,36711086
GETINGE IT SOLUTIONS ApS,10220475
Ghost A/S,24235521
Glaxosmithkline Pharma A/S,27394019
Global Maritime Forum Fonden,38864122
Global Technical Support ApS,41278692
Global Wind Service A/S,31166047
Globalization Partners Denmark ApS,38527614
GLYCOM A/S,28512457
Glycom Manufacturing A/S,37207713
GN Audio A/S,15069511
GN Hearing A/S,55082715
GN Store Nord A/S,24257843
GOMSPACE A/S,30899849
Google Denmark ApS,28866984
Gram Equipment A/S,21274208
Green Hydrogen Systems A/S,30548701
Grundfos A/S,37499919
Grundfos Holding A/S,31858356
Grundfos Operations A/S,35817352
Gulvkanonen ApS,39247356
GTS Nordic ApS,21672475
H & M Hennes & Mauritz A/S,33345828
H. Lundbeck A/S,56759913
Haldor Topsøe A/S,41853816
"Hafnia Pools, filial af Hafnia Pools Pte. Ltd., Singapore",40513523
Haleon Denmark ApS,55541817
Halliburton Denmark ApS,19606074
Hama Sushi ApS,39571498
HAMLET PROTEIN A/S,16049441
HAVI LOGISTICS ApS,13788642
HAY ApS,26799945
HCL Technologies Denmark ApS,33041454
Heidelberg Materials Precast Denmark A/S,33255047
HelloFresh Nordics ApS,40333371
Henning Larsen Architects A/S,18940884
Hesehus A/S,26676231
HI3G DENMARK ApS,26123445
Hilding Anders Danmark A/S,19835901
Hitachi Energy Denmark A/S,39856638
Hobro IK A/S,29630992
HOLSCHER NORDBERG Architecture and Planning A/S,21151009
House of Prince A/S,13801134
HSS Engineering ApS,21822671
Hydro Precision Tubing Tønder A/S,37488410
Hyme Energy ApS,42822027
Højgård Hestehospital A/S,33783116
IBM Client Innovation Center Danmark ApS,38073729
IBM Danmark ApS,65305216
Ibsen Photonics A/S,26284066
"ICAP Scandinavia, filial af TP ICAP (Europe) SA, Frankrig",40893709
IFS Danmark A/S,14453431
IKEA A/S,50574911
ILK Company ApS,40035087
Imotions A/S,33504004
IMPACT A/S,25858832
IMPERO A/S,32326676
Implement Consulting Group P/S,32767788
In Commodities A/S,38381954
India Royale ApS,36975636
Ineos E&P A/S,73349613
Infarm - Indoor Urban Farming Denmark ApS,40715746
Ingleby Farms & Forests ApS,35868062
International Flight Support 2020 ApS,41030194
Inpay Services ApS,32318525
Instabox Denmark ApS,40850732
Institut for Menneskerettigheder,34481490
Instrotec ApS,40876022
Interacoustics A/S,15015446
International Council for the Exploration of the Sea (ICES),12063814
International Rectifier HiRel Denmark ApS,27489524
"Itinera Denmark, filial af Itinera S.P.A., Italien",39756579
Intomics A/S,31883962
IO Interactive A/S,24216209
Ipnordic A/S,33577591
IPSOS A/S,14747788
Iron & Ink Tattoo Studios ApS,36727527
IRON PUMP A/S,62749318
ISS World Services A/S,10161614
ISSUU ApS,29831084
ITERA ApS,21472271
JAJA ARCHITECTS ApS,30594479
Januar ApS,38891294
Jens H. Hansen ApS,34088721
JFM P/S,36503335
JKS A/S,19687236
Joe & the Juice A/S,26589355
John Sisk & Son ApS,42703087
JO Industries af 2019 ApS,40149538
Jones Engineering Group Denmark ApS,38306278
JSB Group A/S,34607109
JTI Denmark A/S,28519958
JYSK A/S,13590400
Kalundborg Refinery A/S,29975884
K&B Foodservice ApS,42322423
K2 Management A/S,30812743
KAMSTRUP A/S,21248118
Karnov Group Denmark A/S,10361990
Kassow Robots ApS,35033394
Kereby ApS,38786326
KEYMATE ApS,27257690
KFT 1 ApS,38569872
KIIN ApS,29603170
Kiloo A/S,26429463
KING'S BUFFET & RUNNING SUSHI ApS,35807470
King Nails ApS,36983949
King Running Sushi & Wok v/Jian Wang,34152896
KMD A/S,26911745
Knorr-Bremse Rail Systems Denmark ApS,41777583
"KNUD E. HANSEN A/S, NAVAL ARCHITECTS",21594873
Kolding IF Fodbold ApS,39250330
Kontrapunkt Group A/S,10179238
KOPPERS DENMARK ApS,11000738
Kosan Crisplant A/S,25690869
KPMG Acor Tax Partnerselskab,34082200
KPMG Statsautoriseret Revisionpartnerselskab,25578198
Kraftvaerk A/S,27504639
Kromann Reumert,62606711
Kræftens Bekæmpelse,55629013
Krüger A/S,57446412
Kyndryl Danmark ApS,41988169
Københavns Universitet,29979812
Køge Hospital Project Team I/S,39588706
Lactalis Danmark A/S,10106982
Laerdal Copenhagen A/S,20087986
Languagewire A/S,25567846
Lantmännen Unibake Holding A/S,37249211
Lauritzen Bulkers A/S,55700117
